1 0.000000 0.167320
2 -0.166667 0.000653
3 -0.277778 0.110458
4 -0.203704 0.036384
5 -0.154321 0.012999
6 -0.187243 0.019923
7 -0.165295 0.002025
8 -0.179927 0.012607
9 -0.170172 0.002852
10 -0.163669 0.003651
11 -0.168005 0.000685
12 -0.165114 0.002206
13 -0.167041 0.000279
14 -0.168326 0.001006
15 -0.167469 0.000150
16 -0.166898 0.000421
17 -0.167279 0.000041
18 -0.167533 0.000213
19 -0.167364 0.000044
20 -0.167251 0.000069
21 -0.167326 0.000006
22 -0.167276 0.000044
23 -0.167309 0.000011
24 -0.167332 0.000012
25 -0.167317 0.000003
26 -0.167327 0.000007
27 -0.167320 0.000000
28 -0.167316 0.000004
29 -0.167319 0.000001
30 -0.167320 0.000001
31 -0.167319 0.000001
32 -0.167320 0.000000
33 -0.167319 0.000000
34 -0.167320 0.000000
35 -0.167320 0.000000
36 -0.167320 0.000000
